"popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","country","electronic","jazz","pop","r_n_b","rock","classical","metal","other","world","latin","acoustic",".pred"
54,226603,"False",0.479,0.126,1,-13.974,1,0.0303,0.966,0,0.113,0.279,96.327,4,0,0,0,1,0,0,0,0,0,0,0,1,46.7924955781394
73,258826,"False",0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.573,123.055,4,0,0,0,1,0,0,0,0,0,0,0,1,39.8509784847058
46,263823,"False",0.434,0.469,0,-7.849,0,0.0265,0.52,0.000328,0.108,0.0568,136.282,4,0,0,0,1,0,0,0,0,0,0,0,1,44.2908823154375
57,157466,"False",0.528,0.291,10,-9.696,1,0.0401,0.914,0,0.121,0.355,76.805,4,0,0,0,1,0,0,0,0,0,0,0,1,41.113401771428
62,216612,"False",0.483,0.506,9,-6.058,1,0.0347,0.394,0,0.0946,0.705,87.337,4,0,0,0,1,0,0,0,0,0,0,0,1,42.9144864115795
53,246613,"False",0.55,0.499,4,-9.502,1,0.0338,0.472,2.26e-06,0.0798,0.144,86.966,1,0,0,0,1,0,0,0,0,0,0,0,1,43.3797893187555
49,317441,"False",0.486,0.555,2,-9.466,1,0.0271,0.818,0.00269,0.109,0.0992,77.987,4,0,0,0,1,0,0,0,0,0,0,0,1,44.3335522022637
0,216626,"False",0.678,0.612,4,-9.764,1,0.0339,0.1,0.316,0.164,0.857,118.381,4,0,0,0,1,0,0,0,0,0,0,0,1,39.2744241622469
0,209293,"False",0.649,0.399,6,-7.894,1,0.0256,0.184,0.000108,0.113,0.342,97.498,3,0,0,0,1,0,0,0,0,0,0,0,1,43.5547820773461
30,173250,"False",0.578,0.763,2,-4.824,1,0.0998,0.0916,2.8e-06,0.0743,0.394,96.808,4,0,0,0,1,0,0,0,0,0,0,0,1,48.4114057021467
45,192972,"False",0.436,0.239,7,-12.83,1,0.0282,0.861,8.48e-05,0.0902,0.137,73.761,4,0,0,0,1,0,0,0,0,0,0,0,1,45.7643762701162
65,279826,"False",0.386,0.452,2,-7.715,1,0.0278,0.417,0,0.0881,0.287,169.837,3,0,0,0,1,0,0,0,0,0,0,0,1,44.5731546771097
60,261665,"False",0.522,0.152,2,-14.996,1,0.0303,0.788,2.37e-05,0.148,0.133,144.055,4,0,0,0,1,0,0,0,0,0,0,0,1,46.7099654328228
64,160453,"False",0.681,0.168,7,-13.397,1,0.0291,0.793,0.000134,0.109,0.29,128.615,4,0,0,0,1,0,0,0,0,0,0,0,1,47.5749368119567
37,169318,"True",0.371,0.674,9,-3.72,1,0.0488,0.169,0,0.0889,0.92,87.603,4,0,0,0,1,0,0,0,0,0,0,0,1,38.1231034450305
63,218573,"False",0.731,0.572,6,-7.889,0,0.0445,0.105,0.00012,0.133,0.947,154.038,4,0,0,0,1,0,0,0,0,0,0,0,1,38.5288771692718
0,183293,"False",0.594,0.307,10,-13.062,1,0.0249,0.796,0.0414,0.15,0.24,94.026,3,0,0,0,1,0,0,0,0,0,0,0,1,44.3612188030696
36,169266,"True",0.608,0.917,11,-5.341,1,0.0601,0.236,0,0.13,0.936,117.875,4,0,0,0,1,0,0,0,0,0,0,0,1,39.6141768894138
54,184200,"False",0.589,0.249,2,-10.086,1,0.0329,0.717,0,0.106,0.363,150.096,3,0,0,0,1,0,0,0,0,0,0,0,1,47.7220993340819
42,160768,"False",0.655,0.147,8,-14.409,1,0.0371,0.88,0,0.266,0.328,116.103,4,0,0,0,1,0,0,0,0,0,0,0,1,43.3146128045894
54,201508,"False",0.473,0.263,9,-8.609,1,0.033,0.814,0,0.142,0.315,87.145,4,0,0,0,1,0,0,0,0,0,0,0,1,44.4126883376951
56,246345,"False",0.439,0.217,2,-13.166,1,0.0413,0.933,0,0.126,0.373,144.413,4,0,0,0,1,0,0,0,0,0,0,0,1,44.9983900951887
59,257173,"False",0.582,0.347,7,-14.769,1,0.0305,0.317,0.00678,0.111,0.0797,97.957,4,0,0,0,1,0,0,0,0,0,0,0,1,45.6090084940996
51,197850,"False",0.541,0.192,0,-13.995,0,0.0282,0.893,0,0.193,0.317,139.938,4,0,0,0,1,0,0,0,0,0,0,0,1,45.551039594244
52,142379,"False",0.665,0.185,1,-13.852,1,0.0381,0.913,0,0.334,0.458,82.474,4,0,0,0,1,0,0,0,0,0,0,0,1,42.8975454684728
55,212400,"False",0.489,0.183,0,-14.769,1,0.033,0.907,3.95e-05,0.106,0.486,79.961,4,0,0,0,1,0,0,0,0,0,0,0,1,43.4303166907332
58,196819,"False",0.494,0.214,7,-11.041,1,0.0363,0.92,1.07e-05,0.107,0.35,125.981,3,0,0,0,1,0,0,0,0,0,0,0,1,46.1182013098549
56,204998,"False",0.559,0.455,5,-8.937,1,0.0306,0.421,2.08e-06,0.103,0.396,159.985,4,0,0,0,1,0,0,0,0,0,0,0,1,46.4168678340937
54,211624,"False",0.271,0.0937,0,-15.035,1,0.0367,0.939,0,0.108,0.147,164.721,5,0,0,0,1,0,0,0,0,0,0,0,1,37.8165594855171
39,128798,"True",0.734,0.0423,4,-24.831,1,0.0583,0.916,0,0.108,0.14,123.905,4,0,0,0,1,0,0,0,0,0,0,0,1,44.1533412167209
53,172708,"False",0.615,0.406,6,-12.619,1,0.0358,0.541,1.67e-05,0.0982,0.541,166.035,4,0,0,0,1,0,0,0,0,0,0,0,1,44.2167671701888
64,246280,"False",0.503,0.357,3,-9.36,1,0.0272,0.727,0,0.128,0.438,136.135,4,0,0,0,1,0,0,0,0,0,0,0,1,44.3926462653515
34,331984,"False",0.45,0.183,2,-9.003,1,0.0309,0.762,3.41e-06,0.11,0.219,61.192,4,0,0,0,1,0,0,0,0,0,0,0,1,43.0551948493528
57,256933,"False",0.555,0.452,0,-9.636,1,0.0554,0.694,0,0.0595,0.321,179.921,4,0,0,0,1,0,0,0,0,0,0,0,1,41.68821254953
64,231813,"False",0.567,0.224,1,-10.024,1,0.0299,0.887,0,0.109,0.2,124.44,4,0,0,0,1,0,0,0,0,0,0,0,1,49.3777387861079
49,162963,"False",0.494,0.152,3,-9.843,1,0.0313,0.947,0,0.123,0.304,134.178,4,0,0,0,1,0,0,0,0,0,0,0,1,44.0306614666968
55,166189,"False",0.634,0.267,11,-7.396,1,0.044,0.841,0,0.11,0.391,143.514,4,0,0,0,1,0,0,0,0,0,0,0,1,45.7677679906926
56,183093,"False",0.43,0.121,10,-15.148,1,0.0404,0.908,0,0.161,0.461,91.211,4,0,0,0,1,0,0,0,0,0,0,0,1,41.9967016316705
57,198403,"False",0.394,0.249,5,-10.484,1,0.0396,0.927,0,0.115,0.329,79.549,4,0,0,0,1,0,0,0,0,0,0,0,1,42.5057989065141
30,129032,"False",0.48,0.158,8,-15.239,1,0.0807,0.809,0.886,0.117,0.498,86.107,4,0,0,0,1,0,0,0,0,0,0,0,1,36.3550238513925
52,246979,"False",0.659,0.331,10,-8.987,1,0.0321,0.809,0,0.0996,0.0877,105.01,4,0,0,0,1,0,0,0,0,0,0,0,1,48.0451314862215
35,222626,"False",0.467,0.851,6,-4.203,1,0.0526,0.000353,0,0.33,0.644,93.873,4,0,0,0,1,0,0,0,0,0,0,0,1,37.6646374108143
50,205800,"False",0.588,0.914,7,-7.442,1,0.0341,0.832,0.856,0.103,0.971,128.553,4,0,0,0,1,0,0,0,0,0,0,0,1,34.4629295843056
34,192392,"False",0.415,0.619,2,-7.624,0,0.123,0.946,2.75e-05,0.799,0.739,77.009,4,0,0,0,1,0,0,0,0,0,0,0,1,34.3112051850693
33,122874,"False",0.586,0.702,0,-4.418,1,0.132,0.59,0,0.146,0.644,177.598,4,0,0,0,1,0,0,0,0,0,0,0,1,38.6192546638881
50,181311,"False",0.622,0.221,9,-14.335,1,0.0583,0.901,0,0.107,0.297,131.827,4,0,0,0,1,0,0,0,0,0,0,0,1,44.7191361265306
41,273260,"False",0.66,0.743,9,-8.302,1,0.0506,0.0329,0.00136,0.098,0.445,130.025,4,0,0,0,1,0,0,0,0,0,0,0,1,41.716200174104
33,196026,"False",0.686,0.377,9,-9.59,1,0.0589,0.638,0,0.128,0.551,92.042,4,0,0,0,1,0,0,0,0,0,0,0,1,46.8446699472845
55,198218,"False",0.45,0.254,4,-9.873,1,0.0414,0.827,0,0.204,0.248,92.644,4,0,0,0,1,0,0,0,0,0,0,0,1,41.2212348400505
51,219363,"False",0.543,0.324,0,-11.258,1,0.0316,0.452,2.81e-05,0.412,0.181,139.883,4,0,0,0,1,0,0,0,0,0,0,0,1,42.7832118686224
54,205586,"False",0.52,0.308,7,-11.996,1,0.0331,0.776,0.00285,0.115,0.187,125.93,3,0,0,0,1,0,0,0,0,0,0,0,1,46.3773891965836
55,227128,"False",0.681,0.608,8,-8.369,1,0.0339,0.62,0.000425,0.136,0.315,123.991,4,0,0,0,1,0,0,0,0,0,0,0,1,43.6454579502044
34,243066,"False",0.569,0.861,1,-4.547,0,0.0406,0.0425,0,0.204,0.511,77.983,4,0,0,0,1,0,0,0,0,0,0,0,1,45.7458528719287
45,77093,"False",0.519,0.0646,2,-18.898,1,0.0433,0.982,3.84e-06,0.105,0.395,121.696,4,0,0,0,1,0,0,0,0,0,0,0,1,41.2776501065737
33,244840,"False",0.608,0.705,3,-5.178,1,0.0253,0.078,8.36e-05,0.179,0.621,111.204,4,0,0,0,1,0,0,0,0,0,0,0,1,40.7064643859885
34,275266,"False",0.585,0.734,9,-5.365,1,0.032,0.0334,0,0.0934,0.413,117.84,4,0,0,0,1,0,0,0,0,0,0,0,1,45.6454395764181
49,163960,"False",0.495,0.22,5,-11.16,1,0.0355,0.847,1.4e-06,0.0957,0.345,126.618,4,0,0,0,1,0,0,0,0,0,0,0,1,44.4372347862175
33,227053,"False",0.245,0.624,2,-5.606,1,0.0368,0.11,0,0.363,0.462,162.586,3,0,0,0,1,0,0,0,0,0,0,0,1,39.9808773140037
31,215440,"False",0.387,0.526,9,-7.611,0,0.0301,0.244,0.000386,0.105,0.334,130.719,4,0,0,0,1,0,0,0,0,0,0,0,1,42.1349862089364
49,177818,"False",0.693,0.111,0,-12.356,1,0.0379,0.937,1.47e-06,0.0858,0.247,110.813,4,0,0,0,1,0,0,0,0,0,0,0,1,44.599899895496
41,241758,"False",0.3,0.27,8,-14.397,0,0.0371,0.9,4.47e-05,0.1,0.214,144.589,4,0,0,0,1,0,0,0,0,0,0,0,1,41.0371300219723
54,189646,"False",0.746,0.257,0,-9.878,1,0.0312,0.772,0,0.107,0.348,132.032,4,0,0,0,1,0,0,0,0,0,0,0,1,47.4052919338057
50,262820,"False",0.393,0.268,9,-6.741,1,0.0385,0.697,0,0.11,0.225,110.456,4,0,0,0,1,0,0,0,0,0,0,0,1,46.2356584503024
33,256506,"False",0.616,0.791,9,-6.246,1,0.0293,0.0599,3.97e-06,0.318,0.589,126.764,4,0,0,0,1,0,0,0,0,0,0,0,1,37.9190646545326
54,190106,"False",0.504,0.0273,2,-21.441,1,0.0415,0.931,1.1e-05,0.109,0.395,120.24,4,0,0,0,1,0,0,0,0,0,0,0,1,45.0203367657596
31,165799,"False",0.228,0.574,4,-7.959,0,0.0421,0.517,0.00148,0.128,0.389,182.379,4,0,0,0,1,0,0,0,0,0,0,0,1,37.8499189769214
45,297266,"False",0.468,0.254,6,-11.839,1,0.0303,0.938,0.000442,0.107,0.242,135.862,4,0,0,0,1,0,0,0,0,0,0,0,1,47.4745875684983
46,273026,"False",0.515,0.249,8,-10.108,0,0.044,0.793,0,0.102,0.213,108.89,5,0,0,0,1,0,0,0,0,0,0,0,1,43.1774896519059
50,182826,"False",0.565,0.89,0,-5.481,1,0.0285,0.00537,6.61e-05,0.213,0.744,119.862,4,0,0,0,1,0,0,0,0,0,0,0,1,39.0813563900248
56,208102,"False",0.657,0.192,10,-13.108,0,0.0365,0.894,0,0.157,0.305,130.087,4,0,0,0,1,0,0,0,0,0,0,0,1,43.8851516146374
53,172766,"False",0.371,0.208,11,-13.167,1,0.0462,0.912,0,0.105,0.309,199.805,4,0,0,0,1,0,0,0,0,0,0,0,1,42.3829765694773
45,239855,"False",0.453,0.461,0,-9.328,0,0.0329,0.165,0,0.109,0.0844,106.84,5,0,0,0,1,0,0,0,0,0,0,0,1,46.3973163026835
54,145514,"False",0.724,0.28,9,-12.788,1,0.0303,0.755,0,0.326,0.527,106.966,4,0,0,0,1,0,0,0,0,0,0,0,1,43.8671052345412
55,136542,"False",0.658,0.125,8,-15.901,1,0.0323,0.877,0,0.287,0.507,106.686,4,0,0,0,1,0,0,0,0,0,0,0,1,42.8606494341971
54,200800,"False",0.643,0.436,1,-12.245,1,0.0273,0.724,0.459,0.11,0.422,91.485,4,0,0,0,1,0,0,0,0,0,0,0,1,42.1965118749671
30,188952,"True",0.415,0.713,0,-5.529,1,0.0345,0.0555,0,0.0811,0.361,83.69,3,0,0,0,1,0,0,0,0,0,0,0,1,46.0752481705955
30,146129,"True",0.474,0.876,7,-5.052,1,0.0341,0.00277,6.15e-06,0.39,0.607,91.948,4,0,0,0,1,0,0,0,0,0,0,0,1,38.245006619756
41,242347,"False",0.506,0.24,2,-14.737,1,0.0305,0.854,0.0749,0.101,0.0621,130.96,4,0,0,0,1,0,0,0,0,0,0,0,1,42.9441960264314
43,188735,"False",0.595,0.18,9,-11.391,1,0.0298,0.89,0,0.113,0.261,79.922,3,0,0,0,1,0,0,0,0,0,0,0,1,46.2799058504386
65,256648,"False",0.644,0.412,5,-9.14,0,0.0307,0.796,0.127,0.0906,0.206,118.49,4,0,0,0,1,0,0,0,0,0,0,0,1,44.6157069924678
47,243979,"False",0.44,0.119,10,-12.574,1,0.0318,0.927,1.26e-06,0.137,0.279,145.186,4,0,0,0,1,0,0,0,0,0,0,0,1,44.5688787983649
51,249386,"False",0.403,0.29,2,-10.262,1,0.0328,0.757,0,0.0972,0.248,139.482,4,0,0,0,1,0,0,0,0,0,0,0,1,46.8096315508163
47,147809,"False",0.789,0.261,7,-14.396,1,0.0456,0.803,0,0.0962,0.491,117.961,4,0,0,0,1,0,0,0,0,0,0,0,1,43.5523696800345
51,228426,"False",0.498,0.113,6,-16.097,0,0.0333,0.691,0.000287,0.108,0.296,168.383,4,0,0,0,1,0,0,0,0,0,0,0,1,46.2482270623554
30,178573,"False",0.457,0.26,7,-7.952,1,0.0406,0.0594,0,0.346,0.38,106.756,4,0,0,0,1,0,0,0,0,0,0,0,1,39.734487935446
59,214666,"False",0.564,0.209,3,-8.922,1,0.0317,0.724,3.99e-05,0.107,0.402,109.024,4,0,0,0,1,0,0,0,0,0,0,0,1,44.9546049516072
30,252760,"True",0.501,0.44,6,-8.167,1,0.0352,0.818,0,0.104,0.311,89.881,4,0,0,0,1,0,0,0,0,0,0,0,1,46.3539826585498
29,136815,"True",0.461,0.893,9,-6.028,1,0.121,0.00323,0,0.654,0.4,179.92,4,0,0,0,1,0,0,0,0,0,0,0,1,39.3006293617172
32,234046,"False",0.611,0.534,7,-8.899,1,0.0744,0.423,0,0.145,0.38,159.985,4,0,0,0,1,0,0,0,0,0,0,0,1,45.2426769754838
23,240449,"False",0.524,0.566,1,-5.443,1,0.0364,0.0411,0,0.25,0.362,159.914,4,0,0,0,1,0,0,0,0,0,0,0,1,45.7210558867367
41,89268,"False",0.34,0.309,11,-12.98,0,0.05,0.855,0.903,0.168,0.153,176.899,3,0,0,0,1,0,0,0,0,0,0,0,1,35.7713241622732
49,213453,"False",0.598,0.291,2,-8.627,1,0.0328,0.466,6.52e-05,0.12,0.38,123.978,4,0,0,0,1,0,0,0,0,0,0,0,1,45.029013235912
50,148573,"False",0.445,0.289,11,-19.113,0,0.0329,0.437,0.00641,0.0988,0.172,104.006,4,0,0,0,1,0,0,0,0,0,0,0,1,41.9531763508229
36,195535,"False",0.609,0.0866,4,-19.163,1,0.0412,0.912,0,0.113,0.411,167.892,3,0,0,0,1,0,0,0,0,0,0,0,1,45.5420997609229
29,207933,"False",0.626,0.682,6,-5.656,1,0.0397,0.277,0.000325,0.0985,0.636,75.02,4,0,0,0,1,0,0,0,0,0,0,0,1,44.7230086201874
56,307534,"False",0.55,0.334,10,-10.73,1,0.0288,0.517,0.000169,0.101,0.143,72.235,4,0,0,0,1,0,0,0,0,0,0,0,1,48.3432249124304
29,230915,"False",0.686,0.285,5,-10.912,1,0.0291,0.689,0,0.129,0.672,103.995,4,0,0,0,1,0,0,0,0,0,0,0,1,43.7402614190307
55,137880,"False",0.691,0.552,5,-9.114,1,0.0264,0.497,0.000589,0.197,0.685,119.931,4,0,0,0,1,0,0,0,0,0,0,0,1,37.6215142486866
30,381910,"False",0.389,0.864,9,-3.218,1,0.117,0.0362,6.31e-06,0.193,0.548,98.11,3,0,0,0,1,0,0,0,0,0,0,0,1,39.3861117179327
29,196161,"True",0.387,0.524,3,-9.633,1,0.0493,0.777,5.74e-06,0.718,0.858,95.623,4,0,0,0,1,0,0,0,0,0,0,0,1,36.8740321796257
28,156533,"False",0.408,0.974,1,-5.501,1,0.15,8.77e-05,0,0.278,0.578,197.008,4,0,0,0,1,0,0,0,0,0,0,0,1,34.3883610377764
50,196724,"False",0.49,0.204,11,-10.992,1,0.0315,0.901,0,0.0893,0.373,167.573,4,0,0,0,1,0,0,0,0,0,0,0,1,46.9239787918304
36,156923,"False",0.778,0.445,7,-8.228,1,0.0468,0.45,1.28e-06,0.119,0.502,130.01,4,0,0,0,1,0,0,0,0,0,0,0,1,45.9739215340602
41,203024,"False",0.625,0.818,6,-6.296,0,0.0669,0.0516,1.13e-05,0.132,0.307,123.905,4,0,0,0,1,0,0,0,0,0,0,0,1,46.3747532503914
55,228013,"False",0.529,0.0546,1,-23.684,1,0.0364,0.924,0.0428,0.108,0.517,78.451,4,0,0,0,1,0,0,0,0,0,0,0,1,41.4489284394276
51,181596,"False",0.566,0.168,3,-12.483,1,0.0372,0.812,0,0.125,0.238,116.286,4,0,0,0,1,0,0,0,0,0,0,0,1,45.4419162371061
46,267862,"False",0.547,0.328,8,-11.118,1,0.0321,0.163,0.0926,0.0884,0.186,139.959,4,0,0,0,1,0,0,0,0,0,0,0,1,45.8569418948887
59,241546,"False",0.325,0.424,7,-12.733,1,0.0438,0.341,0.000267,0.23,0.494,173.352,3,0,0,0,1,0,0,0,0,0,0,0,1,41.6264171042027
48,156773,"False",0.74,0.377,2,-10.013,1,0.0583,0.65,0,0.178,0.408,78.988,4,0,0,0,1,0,0,0,0,0,0,0,1,45.0322850824018
28,312133,"False",0.465,0.211,7,-14.143,1,0.0384,0.812,0.00199,0.102,0.256,83.257,4,0,0,0,1,0,0,0,0,0,0,0,1,44.2936495397335
52,254026,"False",0.592,0.304,8,-9.833,1,0.0298,0.564,0,0.107,0.307,114.72,3,0,0,0,1,0,0,0,0,0,0,0,1,45.8558602710647
42,236000,"False",0.439,0.292,0,-10.92,1,0.0308,0.744,6.27e-05,0.0987,0.153,82.222,4,0,0,0,1,0,0,0,0,0,0,0,1,45.8992891271223
28,196213,"False",0.56,0.755,1,-3.923,0,0.0278,0.286,0.000498,0.243,0.491,147.138,4,0,0,0,1,0,0,0,0,0,0,0,1,43.3821147357642
29,127033,"True",0.598,0.599,3,-10.265,1,0.0823,0.326,1.49e-05,0.117,0.94,90.206,4,0,0,0,1,0,0,0,0,0,0,0,1,36.7903087984871
28,125100,"True",0.469,0.457,5,-10.102,1,0.0412,0.692,0,0.0531,0.893,84.064,4,0,0,0,1,0,0,0,0,0,0,0,1,35.7818040527043
39,192397,"False",0.559,0.118,7,-16.34,1,0.0421,0.979,0.935,0.109,0.289,97.1,4,0,0,0,1,0,0,0,0,0,0,0,1,41.5645855508643
43,215746,"False",0.231,0.636,11,-7.257,1,0.0339,0.00402,0,0.0504,0.244,202.098,3,0,0,0,1,0,0,0,0,0,0,0,1,37.436419351396
30,218590,"False",0.807,0.0459,4,-19.883,1,0.0481,0.852,6.14e-06,0.102,0.275,110.512,4,0,0,0,1,0,0,0,0,0,0,0,1,42.2784486558262
53,251960,"False",0.619,0.299,2,-7.744,1,0.0279,0.846,4.99e-05,0.243,0.31,115.405,4,0,0,0,1,0,0,0,0,0,0,0,1,43.0207869778761
31,228387,"False",0.529,0.663,1,-7.036,1,0.0251,0.368,0.00225,0.107,0.223,96.991,4,0,0,0,1,0,0,0,0,0,0,0,1,44.4339895870271
50,225533,"False",0.829,0.751,11,-4.937,0,0.0645,0.0142,0.014,0.0414,0.96,129.993,4,0,0,0,1,0,0,0,0,0,0,0,1,41.4277073463397
46,148000,"False",0.491,0.304,9,-9.379,1,0.0291,0.5,0,0.0975,0.459,149.288,4,0,0,0,1,0,0,0,0,0,0,0,1,40.5180867849007
53,236800,"False",0.45,0.335,2,-6.833,1,0.0301,0.788,1.66e-06,0.115,0.166,125.484,4,0,0,0,1,0,0,0,0,0,0,0,1,46.6918407578288
48,148127,"False",0.625,0.285,0,-13.819,1,0.0524,0.897,0.91,0.108,0.173,141.611,4,0,0,0,1,0,0,0,0,0,0,0,1,39.8273069986076
56,221413,"False",0.518,0.828,8,-5.725,1,0.04,0.03,1.33e-05,0.0456,0.69,84.835,4,0,0,0,1,0,0,0,0,0,0,0,1,42.4080453109073
29,330026,"False",0.524,0.797,7,-6.611,1,0.0298,0.0567,0,0.0796,0.766,105.901,4,0,0,0,1,0,0,0,0,0,0,0,1,39.668014498606
54,253333,"False",0.64,0.496,2,-11.124,1,0.0413,0.616,4.63e-05,0.183,0.954,116.632,4,0,0,0,1,0,0,0,0,0,0,0,1,40.7162695979436
